Name	Glottocode	Glottolog_Name	ISO-639-3	Macroarea	Primary_Location	Latitude	Longitude	Family
Achagua	acha1250	Achagua	aca	South America	Colombia	4.42	-72.25	Arawakan
Amuesha (Yanesha')	yane1238	Yanesha'	ame	South America	Peru	-10.5	-75.42	Arawakan
Anauya	anau1243	Anauyá		South America	Brazil	-2	-66	Arawakan
Paraujano (Añú)	para1316	Paraujano	pbg	South America	Venezuela	10.83	-71.92	Arawakan
Apurina (Apurinã)	apur1254	Apurinã	apu	South America	Brazil	-9	-67	Arawakan
Arua (Aruã)	arua1264	Aruan		South America	Brazil	0	-50	Arawakan
Asheninka (Campa)	asha1243	Asháninka	cni	South America	Peru	-12	-74	Arawakan
Bahuana (Shiriana)	xiri1243	Xiriâna	xir	South America	Brazil	-0.5	-62.5	Arawakan
"Baniva (Avani
Baniwa do)"	bani1254	Avane	bvv	South America	Venezuela	2.71	-67.55	Arawakan
Baniwa (Içana)	bani1255	Baniwa do Icana	bwi	South America	Brazil	2.67	-66.83	Arawakan
Bare (Barawana)	bare1276	Baré	bae	South America	Venezuela	1	-67	Arawakan
Baure 	baur1253	Baure	brg	South America	Bolivia	-13.08	-64.17	Arawakan
Cabiyari (Caviyari)	cabi1241	Cabiyarí	cbb	South America	Colombia	-0.5	-71.5	Arawakan
Caquinte (Poyenisati)	caqu1242	Caquinte	cot	South America	Peru	-11.5	-73.5	Arawakan
Cabiai (Cariaí)	cabi1241	Cabiyarí	cbb	South America	Brazil	-2	-62	Arawakan
Chamicuro	cham1318	Chamicuro	ccc	South America	Peru	-5.17	-75.67	Arawakan
Kurripaco (Wakuenai)	curr1243	Curripaco	kpc	South America	Brazil	2.5	-68.5	Arawakan
Enawene-Mawe (Enawenê-Nawê)	enaw1238	Enawené-Nawé	unk	South America	Brazil	-12.2	-58.6	Arawakan
Garifuna (Black Carib)	gari1256	Garifuna	cab	North America	Honduras	15.67	-88	Arawakan
Guarekena (Guarequena)	guar1293	Baniva de Maroa	gae	South America	Venezuela	2.7	-67.6	Arawakan
Guinau (Guinao)	guin1258	Guinau		South America	Venezuela	4.5	-64.3	Arawakan
Ignaciano (Moxos)	igna1246	Ignaciano	ign	South America	Bolivia	-15.17	-65.42	Arawakan
Inapari (Inamari)	inap1243	Iñapari	inp	South America	Peru	-12.5	-69.33	Arawakan
Island Carib (Karífuna)	isla1278	Island Carib	crb	North America	Caribbean	15.4	-61.3	Arawakan
Karutana (Karútana)	bani1255	Baniwa do Icana	bwi	South America	Colombia	2.6	-68	Arawakan
Kauixana	kais1242	Kaishana		South America	Brazil	-2.5	-68	Arawakan
Kinikinau (Guaná)	guan1270	Kinikinao	gqn	South America	Brazil	-21.5	-57.6	Arawakan
Lokono (Arawak)	araw1276	Lokono	arw	South America	Guyanas	5.5	-55.17	Arawakan
Matchiguenga (Matsigenka)	mach1267	Machiguenga	mcb	South America	Peru	-12	-72.67	Arawakan
Manxineri (Machinere)	mach1268	Machinere	mpd	South America	Brazil	-10.67	-70.25	Arawakan
