Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	atapana, bana	wapixanawapishana, matchiguengamatsigenka, yukunamatapi, nomatsiguenga, bahuanashiriana, banivaavanibaniwado, wainuma, garifunablackcarib, mehinaku, marawamaragua, kauixana, paresiparecis, ignacianomoxos, asheninkacampa, guajirowayuu, baniwaicana, achagua, guinauguinao, barebarawana, tainotaino, kurripacowakuenai, yaviteroparaene, piapocodzaze, mandawakamandahuaca, waurawaura, chamicuro, cabiyaricaviyari, resigaroresigaro, saraveka, tariana, warekena, palikur, inapariinamari, piroyine, yawalapitiyawalapiti, islandcaribkarifuna, lokonoarawak, yumana, mawayanamapidian, amueshayanesha, manao, maipure, aruaarua, apurinaapurina, paraujanoanu, caquintepoyenisati, manxinerimachinere, kinikinauguana, anauya, waraicu, pasepase, karutanakarutana, enawenemaweenawenenawe, trinitariomoxos, marawan, terenaterena, baure	3076	U+0061
i	i	katsirinkaiteri, hiya	matchiguengamatsigenka, marawamaragua, nomatsiguenga, garifunablackcarib, yaviteroparaene, paresiparecis, manxinerimachinere, banivaavanibaniwado, asheninkacampa, baniwaicana, maipure, kurripacowakuenai, achagua, warekena, bahuanashiriana, wapixanawapishana, yukunamatapi, baure, palikur, yawalapitiyawalapiti, tainotaino, wainuma, piroyine, paraujanoanu, resigaroresigaro, barebarawana, kauixana, lokonoarawak, ignacianomoxos, islandcaribkarifuna, tariana, guajirowayuu, saraveka, waraicu, caquintepoyenisati, inapariinamari, yumana, mandawakamandahuaca, piapocodzaze, kinikinauguana, manao, marawan, guinauguinao, cabiyaricaviyari, trinitariomoxos, mawayanamapidian, mehinaku, enawenemaweenawenenawe, aruaarua, karutanakarutana, anauya, apurinaapurina, chamicuro, waurawaura, pasepase, terenaterena	1979	U+0069
a$	a	ma-, ata	baniwaicana, kauixana, bahuanashiriana, warekena, garifunablackcarib, marawamaragua, achagua, ignacianomoxos, tainotaino, apurinaapurina, tariana, yaviteroparaene, waurawaura, yawalapitiyawalapiti, maipure, cabiyaricaviyari, islandcaribkarifuna, yumana, barebarawana, paresiparecis, wainuma, mawayanamapidian, piapocodzaze, chamicuro, manao, guajirowayuu, guinauguinao, mehinaku, mandawakamandahuaca, banivaavanibaniwado, karutanakarutana, enawenemaweenawenenawe, kurripacowakuenai, yukunamatapi, paraujanoanu, lokonoarawak, asheninkacampa, pasepase, caquintepoyenisati, waraicu, palikur, inapariinamari, saraveka, piroyine, kinikinauguana, terenaterena, aruaarua, nomatsiguenga, matchiguengamatsigenka, anauya, trinitariomoxos, wapixanawapishana, manxinerimachinere, marawan, amueshayanesha, resigaroresigaro, baure	1673	U+0061 U+0024
i$	i	uni, iti	matchiguengamatsigenka, banivaavanibaniwado, nomatsiguenga, asheninkacampa, yukunamatapi, garifunablackcarib, kurripacowakuenai, barebarawana, kinikinauguana, piapocodzaze, chamicuro, inapariinamari, yaviteroparaene, manxinerimachinere, wainuma, achagua, piroyine, maipure, kauixana, baniwaicana, resigaroresigaro, marawamaragua, warekena, cabiyaricaviyari, tainotaino, mehinaku, islandcaribkarifuna, mandawakamandahuaca, manao, terenaterena, trinitariomoxos, tariana, anauya, guinauguinao, ignacianomoxos, yawalapitiyawalapiti, waraicu, guajirowayuu, lokonoarawak, caquintepoyenisati, saraveka, waurawaura, karutanakarutana, marawan, paresiparecis, bahuanashiriana, enawenemaweenawenenawe, apurinaapurina, paraujanoanu, baure, wapixanawapishana, palikur, yumana, aruaarua, mawayanamapidian, pasepase	1646	U+0069 U+0024
n	n	uni, tsinane	matchiguengamatsigenka, amueshayanesha, asheninkacampa, nomatsiguenga, achagua, baniwaicana, marawamaragua, warekena, kinikinauguana, maipure, guinauguinao, banivaavanibaniwado, kurripacowakuenai, resigaroresigaro, yaviteroparaene, piapocodzaze, yukunamatapi, kauixana, barebarawana, paresiparecis, garifunablackcarib, chamicuro, bahuanashiriana, saraveka, wainuma, terenaterena, yumana, tariana, mandawakamandahuaca, anauya, piroyine, inapariinamari, mehinaku, manxinerimachinere, wapixanawapishana, guajirowayuu, manao, trinitariomoxos, waraicu, ignacianomoxos, yawalapitiyawalapiti, mawayanamapidian, palikur, enawenemaweenawenenawe, tainotaino, cabiyaricaviyari, waurawaura, marawan, caquintepoyenisati, apurinaapurina, aruaarua, pasepase, karutanakarutana, islandcaribkarifuna, lokonoarawak, paraujanoanu, baure	1269	U+006e
-	+	ma-, -numa	banivaavanibaniwado, baniwaicana, marawamaragua, bahuanashiriana, achagua, wainuma, guajirowayuu, resigaroresigaro, cabiyaricaviyari, kauixana, maipure, mandawakamandahuaca, matchiguengamatsigenka, mawayanamapidian, apurinaapurina, saraveka, waurawaura, manao, palikur, paraujanoanu, tainotaino, manxinerimachinere, piroyine, anauya, mehinaku, marawan, yumana, aruaarua, barebarawana, waraicu, pasepase, islandcaribkarifuna, tariana, guinauguinao, yaviteroparaene, caquintepoyenisati, paresiparecis, karutanakarutana, yukunamatapi, warekena	1120	U+002d
u	u	-numa, arumuga	garifunablackcarib, marawamaragua, piapocodzaze, yawalapitiyawalapiti, tainotaino, mehinaku, warekena, barebarawana, kauixana, islandcaribkarifuna, banivaavanibaniwado, bahuanashiriana, yukunamatapi, baniwaicana, waurawaura, yumana, yaviteroparaene, wapixanawapishana, wainuma, maipure, ignacianomoxos, palikur, inapariinamari, kinikinauguana, terenaterena, guajirowayuu, guinauguinao, manao, paraujanoanu, achagua, mawayanamapidian, kurripacowakuenai, cabiyaricaviyari, trinitariomoxos, aruaarua, marawan, waraicu, mandawakamandahuaca, amueshayanesha, saraveka, tariana, karutanakarutana, chamicuro, anauya, pasepase, manxinerimachinere, lokonoarawak, enawenemaweenawenenawe, resigaroresigaro, piroyine, paresiparecis, matchiguengamatsigenka, apurinaapurina	1095	U+0075
e	e	heketi, wenjets	amueshayanesha, guinauguinao, kauixana, garifunablackcarib, chamicuro, yukunamatapi, marawamaragua, matchiguengamatsigenka, resigaroresigaro, yumana, mehinaku, saraveka, asheninkacampa, kurripacowakuenai, banivaavanibaniwado, baure, piroyine, waurawaura, tainotaino, warekena, nomatsiguenga, barebarawana, manxinerimachinere, paresiparecis, kinikinauguana, palikur, ignacianomoxos, trinitariomoxos, waraicu, wainuma, piapocodzaze, pasepase, terenaterena, inapariinamari, manao, tariana, caquintepoyenisati, paraujanoanu, yaviteroparaene, lokonoarawak, maipure, cabiyaricaviyari, enawenemaweenawenenawe, marawan, aruaarua, islandcaribkarifuna, baniwaicana, mandawakamandahuaca, bahuanashiriana, guajirowayuu, apurinaapurina, mawayanamapidian, achagua, karutanakarutana, anauya	1092	U+0065
