id	16	c	n	4	y
neck	1	0	?	0	0
neck	0	1	?	1	0
neck	0	0	?	0	0
neck	0	0	?	0	0
neck	0	0	?	0	1
breast	1	1	?	1	?
breast	0	0	?	0	?
breast	0	0	?	0	?
breast	0	0	?	0	?
heart	0	?	?	0	1
heart	0	?	?	0	0
heart	1	?	?	0	0
heart	0	?	?	1	0
heart	0	?	?	0	0
liver	1	?	1	0	0
liver	0	?	0	0	1
liver	0	?	0	0	0
liver	0	?	0	1	0
drink	1	0	1	1	0
drink	0	0	0	0	0
drink	0	0	0	0	1
drink	0	1	0	0	0
drink	0	0	0	0	0
drink	0	0	0	0	0
drink	0	0	0	0	0
eat	1	0	0	0	0
eat	0	0	1	0	1
eat	0	0	0	0	0
eat	0	1	0	1	0
eat	0	0	0	0	0
eat	0	0	0	0	0
bite	?	?	0	0	?
bite	?	?	0	0	?
bite	?	?	0	0	?
bite	?	?	1	1	?
bite	?	?	0	0	?
ash	?	?	0	0	?
ash	?	?	0	0	?
ash	?	?	0	0	?
ash	?	?	0	0	?
ash	?	?	1	1	?
ash	?	?	0	0	?
ash	?	?	0	0	?
ash	?	?	0	0	?
burn	1	?	0	?	?
burn	0	?	0	?	?
burn	0	?	1	?	?
burn	0	?	0	?	?
burn	0	?	0	?	?
burn	0	?	0	?	?
see	0	?	0	1	?
see	1	?	1	0	?
hear	?	?	1	1	?
hear	?	?	0	0	?
hear	?	?	0	0	?
hear	?	?	0	0	?
know	1	1	1	?	1
sleep	0	?	0	0	?
sleep	1	?	0	0	?
sleep	0	?	1	0	?
sleep	0	?	0	0	?
sleep	0	?	0	1	?
sleep	0	?	0	0	?
sleep	0	?	0	0	?
sleep	0	?	0	0	?
sleep	0	?	0	0	?
die	?	?	0	?	?
die	?	?	0	?	?
die	?	?	1	?	?
die	?	?	0	?	?
die	?	?	0	?	?
die	?	?	0	?	?
die	?	?	0	?	?
die	?	?	0	?	?
die	?	?	0	?	?
die	?	?	0	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
kill	?	?	?	?	?
swim	?	?	1	1	?
swim	?	?	0	0	?
swim	?	?	0	0	?
swim	?	?	0	0	?
swim	?	?	0	0	?
swim	?	?	0	0	?
swim	?	?	0	0	?
fly	?	?	0	0	?
fly	?	?	0	1	?
fly	?	?	0	0	?
fly	?	?	0	0	?
fly	?	?	0	0	?
fly	?	?	0	0	?
fly	?	?	1	0	?
fly	?	?	0	0	?
fly	?	?	0	0	?
fly	?	?	0	0	?
fly	?	?	0	0	?
fly	?	?	0	0	?
fly	?	?	0	0	?
walk	0	?	0	0	1
walk	0	?	1	1	0
walk	1	?	0	0	0
walk	0	?	0	0	0
walk	0	?	0	0	0
walk	0	?	0	0	0
walk	0	?	0	0	0
walk	0	?	0	0	0
walk	0	?	0	0	0
walk	0	?	0	0	0
walk	0	?	0	0	0
walk	0	?	0	0	0
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	0	?	?
come	?	?	1	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
lie	?	?	1	?	?
lie	?	?	0	?	?
lie	?	?	0	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
sit	?	?	?	?	?
stand	?	0	0	0	1
stand	?	0	0	0	0
stand	?	0	0	0	0
stand	?	1	0	0	0
stand	?	0	0	0	0
stand	?	0	0	0	0
stand	?	0	1	0	0
stand	?	0	0	0	0
stand	?	0	0	0	0
stand	?	0	0	0	0
stand	?	0	0	0	0
stand	?	0	0	0	0
stand	?	0	0	1	0
stand	?	0	0	0	0
give	0	?	0	0	?
give	1	?	0	0	?
give	0	?	0	1	?
give	0	?	1	0	?
give	0	?	0	0	?
give	0	?	0	0	?
give	0	?	0	0	?
give	0	?	0	0	?
give	0	?	0	0	?
give	0	?	0	0	?
give	0	?	0	0	?
give	0	?	0	0	?
give	0	?	0	0	?
say	1	0	1	1	0
say	0	1	0	0	1
say	0	0	0	0	0
say	0	0	0	0	0
say	0	0	0	0	0
sun	1	1	?	1	1
moon	0	?	?	1	0
moon	0	?	?	0	1
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	1	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
moon	0	?	?	0	0
star	1	1	1	1	1
star	0	0	0	0	0
water	?	1	1	1	0
water	?	0	0	0	0
water	?	0	0	0	1
water	?	0	0	0	0
water	?	0	0	0	0
water	?	0	0	0	0
rain	1	0	0	0	1
rain	0	0	0	0	0
rain	0	1	0	0	0
rain	0	0	0	0	0
rain	0	0	0	1	0
rain	0	0	0	0	0
rain	0	0	1	0	0
stone	?	?	?	0	?
stone	?	?	?	1	?
stone	?	?	?	0	?
stone	?	?	?	0	?
stone	?	?	?	0	?
stone	?	?	?	0	?
stone	?	?	?	0	?
stone	?	?	?	0	?
stone	?	?	?	0	?
samd	0	0	1	1	1
samd	0	1	0	0	0
samd	0	0	0	0	0
samd	1	0	0	0	0
samd	0	0	0	0	0
samd	0	0	0	0	0
samd	0	0	0	0	0
samd	0	0	0	0	0
samd	0	0	0	0	0
samd	0	0	0	0	0
samd	0	0	0	0	0
